metric,dataset,status,model_count,kendall,paper_kendall,kendall_matches,pearson,paper_pearson,pearson_matches,path
leep,cifar10,ok,10,0.7333333333333333,0.733,True,0.6271868601156854,0.627,True,results/published/EXP1/results_metrics/group2/leep/cifar10_metrics.json
leep,voc2007,ok,10,0.7333333333333333,0.733,True,0.6411054209048053,0.641,True,results/published/EXP1/results_metrics/group2/leep/voc2007_metrics.json
leep,caltech101,ok,10,0.7333333333333333,0.733,True,0.6311445979808717,0.631,True,results/published/EXP1/results_metrics/group2/leep/caltech101_metrics.json
leep,aircraft,ok,10,-0.022222222222222223,-0.022,True,-0.06779126058150625,-0.068,True,results/published/EXP1/results_metrics/group2/leep/aircraft_metrics.json
leep,cifar100,ok,10,0.764093177458341,0.764,True,0.6798663958227028,0.68,True,results/published/EXP1/results_metrics/group2/leep/cifar100_metrics.json
leep,food,ok,10,0.6,0.6,True,0.5157267331415283,0.516,True,results/published/EXP1/results_metrics/group2/leep/food_metrics.json
leep,pets,ok,10,0.6444444444444445,0.644,True,0.7921951953936754,0.792,True,results/published/EXP1/results_metrics/group2/leep/pets_metrics.json
leep,flowers,ok,10,-0.06666666666666667,-0.067,True,0.11486234607644934,0.115,True,results/published/EXP1/results_metrics/group2/leep/flowers_metrics.json
leep,cars,ok,10,0.5555555555555556,0.556,True,0.24282514671361688,0.243,True,results/published/EXP1/results_metrics/group2/leep/cars_metrics.json
leep,dtd,ok,10,0.674199862463242,0.674,True,0.6018066653126111,0.602,True,results/published/EXP1/results_metrics/group2/leep/dtd_metrics.json
leep,sun397,ok,10,0.6444444444444445,0.644,True,0.6086412553286973,0.609,True,results/published/EXP1/results_metrics/group2/leep/sun397_metrics.json
